0:11:21 | [SirketCHT] [eN]Overlord(7): ! yapmuyorm görev akm
0:11:25 | [SirketCHT] [eN]Overlord(7): ! yeter
0:11:27 | GeneralRookie(9): hg.
0:11:33 | [CMD] [eN]Overlord(7) => /gobus
0:11:35 | [CMD] EmirhanKuruHD(10) => /otur
0:11:35 | [CMD] DarkFlow(15) => /c dorse nerde :D
0:11:36 | [CMD] huso608(11) => /asiriyuk
0:11:39 | Baby_Driveee(0): düzce gelen varmý
0:11:39 | [SirketCHT] iYasinBey(12): ! sirket ici kufur etme yasak b ur da
0:11:40 | [CMD] GeneralRookie(9) => /asiriyuk
0:11:42 | [CMD] GeneralRookie(9) => /asiriyuk
0:11:45 | [CMD] DarkFlow(15) => /asiriyuk
0:11:47 | [CMD] huso608(11) => /c kimin
0:11:48 | [CMD] DarkFlow(15) => /asiriyuk
0:11:50 | [CMD] GeneralRookie(9) => /c herkesde var dorse :D
0:11:52 | [SirketCHT] [eN]Overlord(7): ! oh
0:11:54 | [CMD] huso608(11) => /a clean cekmeyin
0:11:54 | Reader(13) oyuna girdi [IP: 88.245.57.249]
0:11:55 | [CMD] OD_Gamers(8) => /tamir
0:11:59 | [CMD] DarkFlow(15) => /c tmm lag oldu 
0:12:1 | [CMD] EmirhanKuruHD(10) => /rescue
0:12:2 | [CMD] iYasinBey(12) => /a +
0:12:4 | 
0:12:5 | OD_Gamers(8): hg
0:12:7 | [CMD] EmirhanKuruHD(10) => /convoy
0:12:8 | {FFCC00}Reader(13) Otobus Soforu olarak spawn oldu.
0:12:10 | [CMD] huso608(11) => /a ýd 13
0:12:14 | [CMD] iYasinBey(12) => /a tm 
0:12:16 | [CMD] huso608(11) => /a atmayýn
0:12:16 | [CMD] [eN]Overlord(7) => /kemer
0:12:19 | [CMD] iYasinBey(12) => /a tm
0:12:23 | [CMD] iYasinBey(12) => /bangor Reader
0:12:29 | [CMD] iYasinBey(12) => /a neden söyledin ki
0:12:31 | [CMD] iYasinBey(12) => /admins
0:12:33 | [CMD] Reader(13) => /work
0:12:40 | [CMD] huso608(11) => /a banlý hesabý var konusacam
0:12:40 | DarkFlow(15): baby yeraltýndanmý giriyon
0:12:42 | EmirhanKuruHD(10): þimdi 258 skorum olcaktý iþte
0:12:47 | [CMD] iYasinBey(12) => /a tm
0:12:52 | [CMD] huso608(11) => /pm 13
0:12:53 | [CMD] iYasinBey(12) => /aka 13
0:13:2 | [CMD] iYasinBey(12) => /bangor tyler
0:13:5 | OD_Gamers(8): noluicakti
0:13:9 | [CMD] iYasinBey(12) => /bangor winamp
0:13:11 | [CMD] Reader(13) => /stats
0:13:14 | EmirhanKuruHD(10): hyr normalde olmasý lazýmdý
0:13:15 | [CMD] huso608(11) => /pm 13 merhaba
0:13:18 | OD_Gamers(8): ada:D
0:13:20 | [CMD] GeneralRookie(9) => /tamir
0:13:23 | [CMD] Reader(13) => /pm 11 merhaba
0:13:23 | EmirhanKuruHD(10): gittim ehliyet aldýms dasdas 
0:13:23 | [SirketCHT] [eN]Overlord(7): ! aksilik olmasaydý
0:13:27 | OD_Gamers(8): sdasdad;
0:13:28 | [CMD] Reader(13) => /admins
0:13:31 | [SirketCHT] [eN]Overlord(7): ! þirkete þu an 1m kasmýþtým rahat
0:13:31 | OD_Gamers(8): bende diyom ne diyor
0:13:41 | [CMD] huso608(11) => /pm 13 oyunda baska hesap kullanýyormusunuz
0:13:42 | [CMD] DarkFlow(15) => /sirket
0:13:45 | [CMD] EmirhanKuruHD(10) => /kurallar
0:13:46 | [CMD] DarkFlow(15) => /sirket
0:13:47 | TheFlash02(6): zirve :D
0:13:49 | iYasinBey(12): :ASD
0:13:56 | GeneralRookie(9): :D
0:13:56 | [CMD] DarkFlow(15) => /tamir
0:13:57 | [CMD] EmirhanKuruHD(10) => /convoy
0:13:59 | iYasinBey(12):  zýr ve  sura
0:14:4 | GeneralRookie(9): 5 bin skordan sonra skor kasmam ben
0:14:7 | [CMD] Reader(13) => /pm 11 bitane daha var ama hiç girmiyorum full bu hesaptayým
0:14:8 | iYasinBey(12): zýrve
0:14:10 | GeneralRookie(9): herþey açýlmýþ olur.
0:14:18 | iYasinBey(12): yakýnda
0:14:21 | iYasinBey(12): yeni meslekler gelicek
0:14:22 | [LOCAL]Reader(13): bilader düzgün sürsene
0:14:22 | [CMD] Reader(13) => /l bilader düzgün sürsene
0:14:23 | [eN]Overlord(7): v6da yeni meslekler gelicek
0:14:26 | EmirhanKuruHD(10): general ne kadar var caným sýkýldý yaz
0:14:29 | [CMD] [eN]Overlord(7) => /tamir
0:14:32 | [CMD] huso608(11) => /pm 13 Winamp diye hesap var mý hic
0:14:33 | [LOCAL]Reader(13): yok benim yok benim þeridim bu
0:14:33 | [CMD] Reader(13) => /l yok benim yok benim þeridim bu
0:14:33 | [LOCAL]Baby_Driveee(0): hýzlý gidiyon
0:14:33 | [CMD] Baby_Driveee(0) => /l hýzlý gidiyon
