0:8:16 | [SirketCHT] ASLANBEY(12): !:D
0:8:16 | GravLaunch(25): polis ben miyim
0:8:21 | [CMD] GSLIMERT(19) => /ise
0:8:23 | [SirketCHT] Jodor(18): ! ben de çaðataybronun
0:8:24 | [CMD] huso608(8) => /atamir
0:8:31 | [CMD] GSLIMERT(19) => /ise
0:8:32 | [CMD] huso608(8) => /atamir
0:8:34 | [CMD] GSLIMERT(19) => /animdurdur
0:8:34 | [SirketCHT] ASLANBEY(12): !daðýlmýþýz
0:8:38 | [CMD] GSLIMERT(19) => /31
0:8:39 | [CMD] Dark_Alone_(24) => /tamri
0:8:40 | [SirketCHT] Jodor(18): ! aynen
0:8:41 | [CMD] Dark_Alone_(24) => /tamir
0:8:41 | [SirketCHT] Konyali42(11): ! konyalinin jodor ;) :D
0:8:43 | [CMD] Jodor(18) => /sirket
0:8:47 | [SirketCHT] ASLANBEY(12): !konyalýda ayrý konvoy
0:8:47 | [CMD] (TR)Emirhan.(6) => /tamir
0:8:48 | [SirketCHT] Jodor(18): ! aa evet
0:8:52 | [CMD] GSLIMERT(19) => /convoy
0:8:55 | [SirketCHT] Jodor(18): ! konyalý oldu
0:8:59 | [CMD] Dark_Alone_(24) => /kemer
0:9:1 | [CMD] ASLANBEY(12) => /convoy
0:9:5 | [CMD] Jodor(18) => /sirket
0:9:6 | [CMD] huso608(8) => /rescue
0:9:7 | [CMD] SoOoPoL(15) => /tamir
0:9:10 | [CMD] GravLaunch(25) => /tamir
0:9:23 | [SirketCHT] Jodor(18): ! aslan 10m yi geç :D
0:9:24 | [CMD] TunlordBeyWT(10) => /tamir
0:9:31 | [CMD] eren1616(16) => /kemer
0:9:32 | [SirketCHT] ASLANBEY(12): !o kolay :Dw
0:9:32 | [CMD] Konyali42(11) => /sirket
0:9:38 | [CMD] (TR)Emirhan.(6) => /gobus
0:9:43 | [CMD] (TR)Emirhan.(6) => /icerigir
0:9:46 | [CMD] (TR)Emirhan.(6) => /isyerimenu
0:9:46 | GravLaunch(25): dark çok yavaþsýn ya
0:9:48 | CcCAtakan1907(20) oyuna girdi [IP: 78.190.157.164]
0:9:49 | [SirketCHT] Konyali42(11): ! ve 100m yi kasaya kim koyacak merakla bekliyoruz
0:9:52 | [SirketCHT] ASLANBEY(12): !3 görev gg oldu
0:9:52 | [CMD] Konyali42(11) => /convoy
0:9:53 | [CMD] (TR)Emirhan.(6) => /isyerimenu
0:10:0 | [CMD] (TR)Emirhan.(6) => /icerigir
0:10:1 | [CMD] (TR)Emirhan.(6) => /isyerimenu
0:10:1 | 
0:10:3 | [CMD] Konyali42(11) => /sirket
0:10:4 | {FFCC00}CcCAtakan1907(20) {FFFFFF}Kamyoncu olarak spawn oldu.
0:10:4 | [CMD] (TR)Emirhan.(6) => /isyerimenu
0:10:5 | [CMD] Jodor(18) => /c fublarly ban yedi ya rahatladýk ya
0:10:6 | [CMD] GravLaunch(25) => /flip
0:10:6 | [CMD] eren1616(16) => /rescue
0:10:10 | [CMD] (TR)Emirhan.(6) => /icerigir
0:10:11 | [CMD] (TR)Emirhan.(6) => /isyerimenu
0:10:11 | [CMD] GravLaunch(25) => /tamir
0:10:12 | [CMD] CcCAtakan1907(20) => /sa
0:10:14 | [CMD] GravLaunch(25) => /as
0:10:14 | [CMD] (TR)Emirhan.(6) => /isyerimenu
0:10:14 | [CMD] eren1616(16) => /meslek
0:10:17 | [SirketCHT] ASLANBEY(12): !2 defa lagdan uçtum bi defa frezer yuzumden gittim
0:10:21 | eren1616(16) Bankaci olarak spawn oldu.
0:10:22 | [CMD] eren1616(16) => /as
0:10:25 | Dark_Alone_(24): lv demýsýn
0:10:26 | [CMD] Konyali42(11) => /as
0:10:28 | [SirketCHT] Jodor(18): ! bu arada þirkete atakaný almýyorsunuz sakýn almayýn
0:10:28 | GravLaunch(25): evet
0:10:30 | [CMD] bay.potiy(14) => /rescue
0:10:31 | [CMD] eren1616(16) => /araba
0:10:32 | CcCAtakan1907(20): matite afkmý
0:10:33 | [SirketCHT] GravLaunch(25): !neden
0:10:34 | [CMD] nefariouss(9) => /convoy
0:10:34 | [SirketCHT] ASLANBEY(12): !tmm
0:10:35 | GravLaunch(25): galiba
0:10:39 | huso608(8): evet
0:10:40 | [CMD] eren1616(16) => /atamir
0:10:40 | [CMD] eren1616(16) => /asay Araçlar Spawnlanýyor Önemlerinizi Alýn 
0:10:41 | [CMD] CcCAtakan1907(20) => /myskin 299
0:10:44 | [CMD] GravLaunch(25) => /tamir
0:10:44 | [CMD] GSpor1991(7) => /modifiye
0:10:45 | [CMD] huso608(8) => /goto 0
0:10:46 | [CMD] eren1616(16) => /asay Araçlar Spawnlanýyor Önemlerinizi Alýn 
0:10:48 | [CMD] Freezer3543(27) => /tamir
0:10:50 | [CMD] eren1616(16) => /respawncars 
0:10:50 | [CMD] GSpor1991(7) => /work
0:10:50 | [CMD] nefariouss(9) => /c reiz nerde convoy
0:10:50 | [CMD] Freezer3543(27) => /modifiye
0:10:53 | [CMD] Konyali42(11) => /c ts ye neden gelmiyorsun 
0:10:54 | CcCAtakan1907(20): afk
0:10:55 | [CMD] Konyali42(11) => /c docks
0:10:55 | [CMD] CcCAtakan1907(20) => /afk
0:10:56 | (TR)Emirhan.(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:11:4 | [CMD] batu.123(23) => /rescue
0:11:5 | [CMD] bay.potiy(14) => /rescue
0:11:7 | [SirketCHT] Jodor(18): ! adminlerin yüzüyle dalga geçen birinin þirketimizde iþi yok
0:11:14 | [SirketCHT] GravLaunch(25): !wow
0:11:15 | [CMD] batu.123(23) => /rescue
0:11:15 | [SirketCHT] GravLaunch(25): !tamam
0:11:24 | [CMD] Dark_Alone_(24) => /kemer
0:11:25 | [CMD] GravLaunch(25) => /rescue
0:11:25 | [CMD] Dark_Alone_(24) => /stats
0:11:26 | [CMD] bay.potiy(14) => /rescue
0:11:27 | [CMD] TunlordBeyWT(10) => /asay istek þarkýnýz çalýnýyor. Ýyi oyunlar dileriz...
0:11:27 | [SirketCHT] Jodor(18): ! hüseyin ile teksas la dalga geçmiþ
0:11:30 | cCc.Bayram.cCC(6) oyuna girdi [IP: 88.231.20.26]
0:11:31 | [CMD] [cCc]HulkHulk[cCc](17) => /rescue
