0:14:12 | [CMD] Freezer3543(13) => /meslek
0:14:12 | [CMD] sezzer(16) => /c aynen
0:14:12 | Konyali42(17): nasil sadece para cezasi oluyor
0:14:14 | {FFCC00}Freezer3543(13) Otobus Soforu olarak spawn oldu.
0:14:16 | [CMD] CagatayBro(24) => /convoyiptal
0:14:18 | [CMD] sezzer(16) => /c /convoyayril
0:14:19 | [CMD] Emirhan4427(22) => /cantazele
0:14:21 | [CMD] CagatayBro(24) => /convoyayril
0:14:23 | sezzer(16): 2 m ye geliþtircen
0:14:23 | [CMD] Emirhan4427(22) => /god
0:14:23 | [ANTIHACK] Þüpheli Emirhan4427(22) => Can-Hilesi
0:14:26 | Freezer3543(13): Otobus basarýmý kac
0:14:27 | [CMD] [UP]MUST@F@(0) => /meslek
0:14:28 | [CMD] Emirhan4427(22) => /god
0:14:28 | [CMD] CagatayBro(24) => /work
0:14:29 | ASLANBEY(6) oyundan cIktI (Hata/Crash) (IP: 217.131.65.43)
0:14:30 | [CMD] CagatayBro(24) => /meslek
0:14:30 | [LOCAL]sezzer(16): kg
0:14:30 | [CMD] sezzer(16) => /l kg
0:14:30 | [CMD] [UP]MUST@F@(0) => /meslek
0:14:31 | [CMD] Freezer3543(13) => /rescue
0:14:32 | [CMD] Sparta298(25) => /a püü adminlik bitmiþ
0:14:32 | [CMD] [UP]MUST@F@(0) => /meslek
0:14:34 | [CMD] sezzer(16) => /convoyiptal
0:14:35 | {FFCC00}CagatayBro(24) {FFFFFF}Pilot olarak spawn oldu.
0:14:36 | [CMD] Emirhan4427(22) => /rescue
0:14:37 | [CMD] sezzer(16) => /work
0:14:41 | [CMD] Sparta298(25) => /rentcar
0:14:42 | [UP]MUST@F@(0): polisler gelin bana ceza kesin
0:14:46 | Freezer3543(13): Otobus basarýmý kac
0:14:48 | [CMD] Freezer3543(13) => /kemer
0:14:51 | [CMD] Emirhan4427(22) => /rescue
0:14:52 | [CMD] Freezer3543(13) => /modifiye
0:14:52 | [CMD] sezzer(16) => /asiriyuk
0:14:55 | [CMD] Emirhan4427(22) => /rescue
0:14:55 | [SirketCHT] CagatayBro(24): ! baþarým gelemdi þuanda
0:14:56 | [CMD] Sparta298(25) => /kemer
0:14:57 | [CMD] Sparta298(25) => /modifiye
0:15:1 | [SirketCHT] CagatayBro(24): ! bir görev yapýnca mý geliyor
0:15:8 | [CMD] Sparta298(25) => /dtemizle
0:15:10 | [CMD] Emirhan4427(22) => /araba
0:15:11 | Sparta298(25): Sezer
0:15:11 | ASLANBEY(6) oyuna girdi [IP: 217.131.65.43]
0:15:12 | Freezer3543(13): Otobus basarýmý kac
0:15:13 | Freezer3543(13): Aga
0:15:14 | [SirketCHT] sezzer(16): ! 10-15 görev arasý
0:15:18 | [SirketCHT] sezzer(16): ! yap sen o gelir
0:15:26 | Freezer3543(13): Harbi mi yaa
0:15:27 | [CMD] CagatayBro(24) => /kemer
0:15:28 | [SirketCHT] sezzer(16): ! ilk görevde de gelebilir
0:15:28 | [CMD] CagatayBro(24) => /work
0:15:30 | Konyali42(17): nerdesin mustafa
